table_name	column_name	system_type_id	user_type_id	max_length	precision	scale	is_nullable	is_ansi_padded
_SPML_ModuleInfo	TrimBuildMachine	231	231	508	0	0	1	1
_SPML_ModuleInfo	TrimBuildDT	61	61	8	23	3	1	0
_SPML_ModuleInfo	CellThickness	231	231	508	0	0	1	1
_SPML_ModuleInfo	PalletID	127	127	8	19	0	1	0
_SPML_ModuleInfo	FlashTestID	56	56	4	10	0	1	0
_SPML_ModuleInfo	PadLock	36	36	16	0	0	1	0
_SPML_ModuleInfo	BtoCtoSerialNo	231	231	508	0	0	1	1
_SPML_ModuleInfo	EvaUseByDT	61	61	8	23	3	1	0
_SPML_ModuleInfo	IsBtoCto	48	48	1	3	0	1	0
_SPML_ModuleInfo	IntendedModuleWOID	56	56	4	10	0	1	0
AcqCtxVarClass	AcqCtxVarClassID	56	56	4	10	0	0	0
AcqCtxVarClass	AcquisitionContextID	56	56	4	10	0	0	0
AcqCtxVarClass	VariableTypeClassID	48	48	1	3	0	0	0
AcqCtxVarClass	IsOS	48	48	1	3	0	0	0
AcqCtxVarClass	IsOC	48	48	1	3	0	0	0
Acquisition	AcquisitionID	52	52	2	5	0	0	0
Acquisition	Acquisition	231	231	508	0	0	0	1
Acquisition	AcquisitionCode	231	231	100	0	0	1	1
Acquisition	Description	231	231	508	0	0	1	1
AcquisitionAttributeType	AcquisitionAttributeTypeID	56	56	4	10	0	0	0
AcquisitionAttributeType	AcquisitionVariantID	52	52	2	5	0	0	0
AcquisitionAttributeType	AttributeTypeID	52	52	2	5	0	0	0
AcquisitionAttributeType	EntryOrder	52	52	2	5	0	0	0
AcquisitionAttributeType	Formula	231	231	2000	0	0	1	1
AcquisitionAttributeType	IsExplicitStep	48	48	1	3	0	0	0
AcquisitionChain	AcquisitionChainID	52	52	2	5	0	0	0
AcquisitionChain	AcquisitionChain	231	231	508	0	0	0	1
AcquisitionChain	Description	231	231	508	0	0	1	1
AcquisitionContext	MachineStageID	52	52	2	5	0	0	0
AcquisitionContext	AcquisitionVariantID	52	52	2	5	0	0	0
AcquisitionContext	LastMeasurementSetID	56	56	4	10	0	1	0
AcquisitionContext	AcquisitionContextID	56	56	4	10	0	0	0
AcquisitionContext	LastDoneDT	61	61	8	23	3	1	0
AcquisitionContext	IsAttrOC	48	48	1	3	0	0	0
AcquisitionContext	IsCriticalDefect	48	48	1	3	0	0	0
AcquisitionDevice	AcquisitionDeviceID	56	56	4	10	0	0	0
AcquisitionDevice	AcquisitionVariableTypeID	56	56	4	10	0	0	0
AcquisitionDevice	WorkstationConfigID	52	52	2	5	0	0	0
AcquisitionDevice	Instructions	231	231	-1	0	0	1	1
AcquisitionDevice	ImageURI	231	231	-1	0	0	1	1
AcquisitionDevice	RfSourceID	48	48	1	3	0	0	0
AcquisitionDevice	DataDeviceID	56	56	4	10	0	0	0
AcquisitionDevice	DeviceArgs	231	231	508	0	0	1	1
AcquisitionDevice	DeviceOutput	231	231	100	0	0	1	1
AcquisitionDevice	FillMode	175	175	3	0	0	0	1
AcquisitionDevice	Preset	231	231	100	0	0	0	1
AcquisitionDevice	Multiplier	231	231	100	0	0	0	1
AcquisitionDevice	PreprocessingFunction	231	231	508	0	0	1	1
AcquisitionDevice	IsManualTrigger	48	48	1	3	0	0	0
AcquisitionDevice	IsManualConfirm	48	48	1	3	0	0	0
AcquisitionGroup	AcquisitionGroupID	52	52	2	5	0	0	0
AcquisitionGroup	AcquisitionGroup	231	231	508	0	0	0	1
AcquisitionGroup	Description	231	231	508	0	0	1	1
AcquisitionGroup	AcquisitionGroupCode	231	231	100	0	0	1	1
AcquisitionGroup	LoginID	52	52	2	5	0	0	0
AcquisitionGroup	ModifiedDT	61	61	8	23	3	0	0
AcquisitionVariableType	AcquisitionVariableTypeID	56	56	4	10	0	0	0
AcquisitionVariableType	AcquisitionVariantID	52	52	2	5	0	0	0
AcquisitionVariableType	VariableTypeID	56	56	4	10	0	0	0
AcquisitionVariableType	NoHeads	52	52	2	5	0	0	0
AcquisitionVariableType	NoSamples	52	52	2	5	0	0	0
AcquisitionVariableType	NoPositions	52	52	2	5	0	0	0
AcquisitionVariableType	EntryOrder	52	52	2	5	0	0	0
AcquisitionVariableType	Formula	231	231	2000	0	0	1	1
AcquisitionVariant	AcquisitionVariantID	52	52	2	5	0	0	0
AcquisitionVariant	AcquisitionID	52	52	2	5	0	0	0
AcquisitionVariant	MeasurementSetTagProfileID	52	52	2	5	0	0	0
AcquisitionVariant	PartInstanceTagProfileID	52	52	2	5	0	0	0
AcquisitionVariant	DefectTagProfileID	52	52	2	5	0	0	0
AcquisitionVariant	RfAcquisitionClassID	48	48	1	3	0	0	0
AcquisitionVariant	RfDataCollectionFreqID	48	48	1	3	0	0	0
AcquisitionVariant	DataCollectionPeriod	56	56	4	10	0	0	0
AcquisitionVariant	IsRetired	48	48	1	3	0	0	0
AcquisitionVariant	AcqPlan	167	167	4000	0	0	0	1
AcquisitionVariant	VMTPID	52	52	2	5	0	0	0
AcquisitionVariant	CauseActionTPID	52	52	2	5	0	0	0
AcquisitionVariant	Variant	231	231	508	0	0	0	1
AcquisitionVariant	PartTypeID	52	52	2	5	0	0	0
AcquisitionVariant	RevisionNo	52	52	2	5	0	0	0
AcquisitionVariant	IsEdited	48	48	1	3	0	0	0
AcquisitionVariant	HeadAlias	231	231	40	0	0	0	1
AcquisitionVariant	CauseTagListID	52	52	2	5	0	1	0
AcquisitionVariant	ActionTagListID	52	52	2	5	0	1	0
AcquisitionVariant	IsMeasuredWhenProduced	48	48	1	3	0	0	0
AcquisitionVariant	IsInvPackCheck	48	48	1	3	0	0	0
AcquisitionVariant	IsEBATrigger	48	48	1	3	0	0	0
AcquisitionVariant_	AcquisitionVariantID	52	52	2	5	0	0	0
AcquisitionVariant_	FromDT	61	61	8	23	3	0	0
