db,table,column,type,length,precision,scale,nullable,padded
dbo,AcquisitionDevice,Instructions,nvarchar,-1,0,0,1,1
dbo,AcquisitionDevice,ImageURI,nvarchar,-1,0,0,1,1
dbo,AcquisitionDevice,RfSourceID,tinyint,1,3,0,0,0
dbo,AcquisitionDevice,DataDeviceID,int,4,10,0,0,0
dbo,AcquisitionDevice,DeviceArgs,nvarchar,508,0,0,1,1
dbo,AcquisitionDevice,DeviceOutput,nvarchar,100,0,0,1,1
dbo,AcquisitionDevice,FillMode,char,3,0,0,0,1
dbo,AcquisitionDevice,Preset,nvarchar,100,0,0,0,1
dbo,AcquisitionDevice,Multiplier,nvarchar,100,0,0,0,1
dbo,AcquisitionDevice,PreprocessingFunction,nvarchar,508,0,0,1,1
dbo,AcquisitionDevice,IsManualTrigger,tinyint,1,3,0,0,0
dbo,AcquisitionDevice,IsManualConfirm,tinyint,1,3,0,0,0
dbo,AcquisitionGroup,AcquisitionGroupID,smallint,2,5,0,0,0
dbo,AcquisitionGroup,AcquisitionGroup,nvarchar,508,0,0,0,1
dbo,AcquisitionGroup,Description,nvarchar,508,0,0,1,1
dbo,AcquisitionGroup,AcquisitionGroupCode,nvarchar,100,0,0,1,1
dbo,AcquisitionGroup,LoginID,smallint,2,5,0,0,0
dbo,AcquisitionGroup,ModifiedDT,datetime,8,23,3,0,0
dbo,AcquisitionVariableType,AcquisitionVariableTypeID,int,4,10,0,0,0
dbo,AcquisitionVariableType,AcquisitionVariantID,smallint,2,5,0,0,0
dbo,AcquisitionVariableType,VariableTypeID,int,4,10,0,0,0
dbo,AcquisitionVariableType,NoHeads,smallint,2,5,0,0,0
dbo,AcquisitionVariableType,NoSamples,smallint,2,5,0,0,0
dbo,AcquisitionVariableType,NoPositions,smallint,2,5,0,0,0
dbo,AcquisitionVariableType,EntryOrder,smallint,2,5,0,0,0
dbo,AcquisitionVariableType,Formula,nvarchar,2000,0,0,1,1
dbo,AcquisitionVariant,AcquisitionVariantID,smallint,2,5,0,0,0
dbo,AcquisitionVariant,AcquisitionID,smallint,2,5,0,0,0
dbo,AcquisitionVariant,MeasurementSetTagProfileID,smallint,2,5,0,0,0
dbo,AcquisitionVariant,PartInstanceTagProfileID,smallint,2,5,0,0,0
